id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date
1516513066728542217,"Netflix disclosed Tuesday that it lost streaming subscribers overall for the first time on record.

$NFLX reported a net loss of 200,000 paid subscribers in the first quarter, while analysts on average were forecasting 2.5 million net additions. https://t.co/NH5dWN0y2Y https://t.co/NBcnAXncmj",https://twitter.com/MarketWatch/status/1516513066728542217,13,8,24,14,False,2022-04-19
1516512315243438084,"Netflix a perdu 200 000 abonnés dans le monde au cours du premier trimestre de 2022.

C'est la première fois que la plateforme enregistre une perte d'abonnés depuis plus d'une décennie. (via @business) https://t.co/hMFPZMTiwa",https://twitter.com/SeriesUpdateFR/status/1516512315243438084,348,170,3174,507,False,2022-04-19
1516552174859427842,"Netflix estima que “mais de 100 milhões” de lares em todo o mundo estão usando contas compartilhadas, incluindo mais de 30 milhões nos EUA e Canadá.

🗞️ THR https://t.co/Ka0S7mweXx",https://twitter.com/SeriesTWBZ/status/1516552174859427842,28,49,622,33,False,2022-04-19
1516512754651340809,"There's really no excuses @netflix. What could possibly be the issues of a streaming service?
Media platforms such as @Meta, @Twitter, etc., should never really have 'horrible' days in the Market. If they do, it just means that the CFO's aren't doing the best.",https://twitter.com/KraZeMike83/status/1516512754651340809,0,0,0,0,False,2022-04-19
1516521311312519170,"Netflix stock plunged 23% in after-market trading, erasing $30 billion in market value.
Netflix poor results pummeled other video streaming-related stocks, with Roku (ROKU.O) dropping over 6%, Walt Disney (DIS.N) falling 3% 
and Warner Bros Discovery 
(WBD.O) down 2%.

#Reuters",https://twitter.com/dayoconnect/status/1516521311312519170,0,0,0,0,False,2022-04-19
1516507058081865728,"*NETFLIX 1Q STREAMING PAID NET CHANGE -200,000, EST. +2.5M
*NETFLIX SEES 2Q STREAMING PAID NET CHANGE -2.00M, EST. +2.4M",https://twitter.com/zerohedge/status/1516507058081865728,74,38,394,57,False,2022-04-19
1516511640635813890,"JUST IN - Netflix shares plunge over 23% in after-hours trading, projecting to lose 2 million subscribers in the current quarter.",https://twitter.com/disclosetv/status/1516511640635813890,2501,1079,17948,769,False,2022-04-19
1516511657421250560,"3 years ago, when I tweeted this, everyone said I was CRAZY to doubt Netflix Supremacy. They created the streaming market! Everyone has Netflix! It doesn't even MATTER if the shows and films are good, they said. https://t.co/LEO23khSjZ",https://twitter.com/Lons/status/1516511657421250560,6,8,67,1,False,2022-04-19
1516534545654374404,"Then Zuo, CEO of @Zuora had said that people ""want media at their fingertips, not physical products to manage it."" 
Which is why Netflix is predicted to hit 300 million subscribers by 2028. 
@RandNetwork could potentially hit that market.
#Randpartner",https://twitter.com/selenaroyf/status/1516534545654374404,13,12,136,0,False,2022-04-19
1516510560782893061,"A Netflix perdeu 200.000 assinantes no primeiro trimestre e disse que espera perder mais 2 milhões no atual segundo trimestre. 

A Netflix tinha 221,84 milhões na última vez que divulgaram os números, e o novo total de assinante é de 221,64 milhões.

(Via: Variety) https://t.co/P0ROCcRiE7",https://twitter.com/cinestera/status/1516510560782893061,9,29,243,7,False,2022-04-19
1516554112212504576,"I'm a huge Netflix fan, but searching for new subs could lead Netflix to making dumb, dumb, dumb. Decisions. B/c this is how the content landscape works today 🧵

Netflix: Most expensive, least must-watch content, smallest back catalog, best interface, ubiquitous",https://twitter.com/film_girl/status/1516554112212504576,45,34,378,26,False,2022-04-19
1516523184815812625,"Netflix stock plummets roughly 25% following report of 200,000 lost subscribers
#JustTheNews
https://t.co/Ck4BpuzjpX",https://twitter.com/jsolomonReports/status/1516523184815812625,66,18,222,10,False,2022-04-19
1516771935778230282,Netflix plunges 30% at the opening bell after losing subscribers for the first time in a decade https://t.co/m0XqimyKf1 https://t.co/DtZWiSMjg4,https://twitter.com/CNBCnow/status/1516771935778230282,164,58,401,77,False,2022-04-20
1516714664868122625,"(1/n) $NFLX Vamos a analizar sus resultados 🧵

Netflix presentó sus resultados para el Q1 ‘22 con un descenso en su número de usuarios de pago por primera vez desde 2011 y una guía de seguir perdiendo usuarios lo que ha hecho que las acciones caigan un -25% after market. https://t.co/BaRF7TsL4Y",https://twitter.com/InvertirDesde0/status/1516714664868122625,97,14,381,2,False,2022-04-20
1516779399110082568,"📺 | Tras un martes negro con la pérdida de cientos de miles de suscriptores en Netflix, hoy es un miércoles negro en los mercados bursátiles para el, hasta el momento, líder del streaming. https://t.co/jrHjmVkA3F",https://twitter.com/AlertaNews24/status/1516779399110082568,208,43,1479,50,False,2022-04-20
1516519188512317447,"Global streaming giant Netflix Inc (NASDAQ:NFLX) on Tuesday reported losing subscribers for the first time in more than a decade and predicted more contraction in the second quarter.

The company's stock plunged 23% in after-market trading, erasing $30 billion in market value. https://t.co/LjArb41TT3",https://twitter.com/JoeAtallah_/status/1516519188512317447,0,0,0,0,False,2022-04-19
1516606960375779333,"Netflix stocks plunge 25% after streaming service loses 200,000 subscribers during the January-March period. https://t.co/AMsTV1fewk",https://twitter.com/PopCrave/status/1516606960375779333,233,255,5073,1119,False,2022-04-20
1516658183594737668,"Netflix Market Cap:

Start of Pandemic: $154B
Peak: $310B
Today: $154B

The pandemic is over",https://twitter.com/aviralbhat/status/1516658183594737668,182,32,2756,10,False,2022-04-20
1516725441733799940,Bloodbath in the premarket for Netflix: Down more than *25 percent* in the premarket after badly missing subscriber add expectations. Streaming in general in trouble. Too much mediocre content and increasing options outside the home again.,https://twitter.com/JoeConchaTV/status/1516725441733799940,219,140,1563,22,False,2022-04-20
1516668854813937665,"Netflix subscribers worldwide:

Q1 2022: 221.6 million
2021: 221.84 million 
2020: 203.66 million
2019: 167.09 million 
2018: 139.25 million 
2017: 110.64 million 
2016: 89.09 million 
2015: 70.83 million 
2014: 54.47 million 
2013: 41.43 million
2012: 30.36 million",https://twitter.com/stats_feed/status/1516668854813937665,112,29,1335,25,False,2022-04-20
1516810858428461057,"Since last November, Netflix is down 68%, Disney (Plus) is down 29%, and Amazon (Prime Streaming) is down 17%. Are we entering a moment of rejection of the woke/groomer media?",https://twitter.com/TheRealKeean/status/1516810858428461057,845,294,5379,76,False,2022-04-20
